Date,Site,Kpar
2016-07-01,BP14_s2,NA
2016-07-01,LH01_s2,NA
2016-07-01,LH02_s2,NA
2016-07-01,LH07_s2,NA
2016-07-01,LH10_s2,NA
2016-07-01,PB02_s2,NA
2016-07-01,PB03_s2,NA
2016-07-01,PB10_s2,NA
2016-07-01,PB11_s2,NA
2016-07-01,PL02_s2,NA
2016-07-01,PL03_s2,NA
2016-07-01,PL14_s2,NA
2016-07-01,PL16_s2,NA
2016-08-01,BP01_s2,NA
2016-08-01,BP02_s2,0.3788420557975769
2016-08-01,BP03_s2,0.38941240310668945
2016-08-01,BP05_s2,NA
2016-08-01,BP06_s2,0.3318776488304138
2016-08-01,BP08_s2,0.3008168041706085
2016-08-01,BP10_s2,0.4499806761741638
2016-08-01,BP13_s2,0.36057785153388977
2016-08-01,BP14_s2,0.3301739990711212
2016-08-01,LH01_s2,0.44172030687332153
2016-08-01,LH02_s2,0.536118745803833
2016-08-01,LH07_s2,0.5396783351898193
2016-08-01,LH10_s2,0.43515661358833313
2016-08-01,PB02_s2,NA
2016-08-01,PB03_s2,NA
2016-08-01,PB10_s2,NA
2016-08-01,PB11_s2,NA
2016-08-01,PL02_s2,NA
2016-08-01,PL03_s2,NA
2016-08-01,PL14_s2,NA
2016-08-01,PL16_s2,NA
2016-09-01,BP01_s2,0.5403982400894165
2016-09-01,BP02_s2,0.3505280017852783
2016-09-01,BP03_s2,0.3750351071357727
2016-09-01,BP05_s2,0.3391599655151367
2016-09-01,BP06_s2,0.28655341267585754
2016-09-01,BP08_s2,0.3227441906929016
2016-09-01,BP10_s2,0.4799882769584656
2016-09-01,BP13_s2,0.4012637436389923
2016-09-01,BP14_s2,NA
2016-09-01,LH01_s2,0.43784189224243164
2016-09-01,LH02_s2,0.48150885105133057
2016-09-01,LH07_s2,0.5461267232894897
2016-09-01,LH10_s2,0.45279279351234436
2016-09-01,PB02_s2,NA
2016-09-01,PB03_s2,NA
2016-09-01,PB10_s2,NA
2016-09-01,PB11_s2,NA
2016-09-01,PL02_s2,NA
2016-09-01,PL03_s2,NA
2016-09-01,PL14_s2,NA
2016-09-01,PL16_s2,NA
2016-10-01,BP01_s2,0.3444768786430359
2016-10-01,BP02_s2,0.30159857869148254
2016-10-01,BP03_s2,0.28872641921043396
2016-10-01,BP05_s2,NA
2016-10-01,BP06_s2,0.252682089805603
2016-10-01,BP08_s2,0.235407292842865
2016-10-01,BP10_s2,0.3474401533603668
2016-10-01,BP13_s2,NA
2016-10-01,BP14_s2,0.2198883444070816
2016-10-01,LH01_s2,0.4362714886665344
2016-10-01,LH02_s2,0.4537401795387268
2016-10-01,LH07_s2,0.3603237569332123
2016-10-01,LH10_s2,0.35709673166275024
2016-10-01,PB02_s2,NA
2016-10-01,PB03_s2,NA
2016-10-01,PB10_s2,NA
2016-10-01,PB11_s2,NA
2016-10-01,PL02_s2,NA
2016-10-01,PL03_s2,NA
2016-10-01,PL14_s2,NA
2016-10-01,PL16_s2,0.3695399761199951
2016-11-01,BP01_s2,0.35705360770225525
2016-11-01,BP02_s2,0.31646928191185
2016-11-01,BP03_s2,0.353813111782074
2016-11-01,BP05_s2,0.27885040640830994
2016-11-01,BP06_s2,0.3058103322982788
2016-11-01,BP08_s2,0.2699607312679291
2016-11-01,BP10_s2,0.2808344066143036
2016-11-01,BP13_s2,0.42687511444091797
2016-11-01,BP14_s2,0.25854042172431946
2016-11-01,LH01_s2,0.32732057571411133
2016-11-01,LH02_s2,0.40502405166625977
2016-11-01,LH07_s2,0.4633144438266754
2016-11-01,LH10_s2,NA
2016-11-01,PB02_s2,NA
2016-11-01,PB03_s2,NA
2016-11-01,PB10_s2,NA
2016-11-01,PB11_s2,NA
2016-11-01,PL02_s2,0.291358083486557
